"","x"
"612",997.4
"613",1036
"614",1077
"615",1004.4
"616",529.4
"617",0.4
"618",1042.8
"619",1210
"620",1300.2
"621",1286.4
"622",1052.4
"623",517.8
"624",1.6
"625",988
"626",933.4
"627",1143.2
"628",1155.4
"629",1016.6
"630",474
"631",8.2
"632",908.6
"633",1025.2
"634",1221.8
"635",1271.2
"636",1103.2
"637",572
"638",2
"639",1071.6
"640",948.4
"641",1086.4
"642",1165.6
"643",1028.6
"644",532.4
"645",2.4
"646",1047.4
"647",1137
"648",1248.8
"649",1315.4
"650",1089.4
"651",495.6
"652",5.2
"653",1.2
"654",902.8
"655",1067
"656",1184.4
"657",1024.2
"658",485.6
"659",1.4
"660",889.6
"661",1048.2
"662",1184.8
"663",1242
"664",1055.6
"665",502.8
"666",0.2
"667",1006
"668",1229.4
"669",1453
"670",1650.8
"671",1062.4
"672",454.8
"673",1.4
"674",0
"675",1026.4
"676",1159.6
"677",1283
"678",1136
"679",518.6
"680",0.4
"681",0.4
"682",993
"683",1197.6
"684",1338.2
"685",1191.2
"686",553.6
"687",0.8
"688",956.2
"689",1155
"690",1309.8
"691",1383
"692",1193.4
"693",571.6
"694",0.4
"695",1129
"696",1224
"697",1374.2
"698",1555
"699",1436.8
"700",1110
"701",1.8
"702",889.4
"703",1016.8
"704",1238.4
"705",1418.8
"706",1217.8
"707",735.2
"708",0.4
"709",1084.4
"710",1270.8
"711",1456.8
"712",1473
"713",1308.4
"714",892.6
"715",1.2
"716",1142.8
"717",1422.8
"718",1478.6
"719",1590.6
"720",1372.8
"721",1004.4
"722",0.4
"723",1111.6
"724",1236
"725",0.4
"726",1617.4
"727",1485.2
"728",1272
"729",0.6
"730",937.4
"731",1253.8
"732",0
"733",654.2
"734",563.4
"735",249.8
"736",1.2
"737",1.2
"738",756.2
"739",797.6
"740",1010.8
"741",957.4
"742",514.4
"743",0.4
"744",831.8
"745",963
"746",1065.8
"747",1104.2
"748",929.6
"749",420
"750",0.2
"751",879.6
"752",990.4
"753",1122.6
"754",1136.8
"755",1067.6
"756",738.6
"757",0.4
"758",917.4
"759",1083
"760",1265.4
"761",1460
"762",1410.8
"763",223.6
"764",1.2
"765",783
"766",830.6
"767",1019
"768",1107
"769",1117.8
"770",734.8
"771",0.2
"772",948
"773",1020.2
"774",1149
"775",1166.6
"776",993.4
"777",643.6
"778",1.4
"779",861.6
"780",1007.8
"781",1093
"782",1128
"783",977.6
"784",720.8
"785",0.6
"786",819.2
"787",1075.8
"788",1280
"789",1432.8
"790",1435.2
"791",505.2
"792",1.2
"793",852.4
"794",941.4
"795",1022.8
"796",1213.6
"797",1117.6
"798",741.6
"799",0.2
"800",994.6
"801",1080.6
"802",1263.2
"803",1259.2
"804",1116
"805",662
"806",1.2
"807",999
"808",1018.8
"809",1079.4
"810",1181.8
"811",1058.8
"812",499.6
"813",0.4
"814",0.4
"815",1141
"816",1224.8
"817",1376.8
"818",1259.8
"819",836.8
"820",0.8
"821",1122.4
"822",940.2
"823",1117
"824",1142
"825",1056.8
"826",549.2
"827",7
"828",986.2
"829",1218.6
"830",1328.4
"831",1418.6
"832",1161.4
"833",571.2
"834",4.4
"835",951.6
"836",1118.8
"837",1115.8
"838",2.8
"839",25
"840",277.6
"841",1.8
"842",900.6
"843",992.8
"844",1232
"845",1282.6
"846",1105.8
"847",618
"848",0.8
"849",1092.4
"850",1461
"851",1597.8
"852",4.4
"853",1016
"854",463.2
"855",1.6
"856",879.6
"857",1019.2
"858",1183
"859",1276.6
"860",1112.4
"861",477
"862",0.4
"863",1090.6
"864",1119.8
"865",1177.2
"866",1224.4
"867",981.4
"868",468.6
"869",0.4
"870",902.6
"871",1089.2
"872",1188.4
"873",1254
"874",1051
"875",542
"876",1.4
"877",976.6
"878",1191.2
"879",1552.2
"880",1635.6
"881",1521.2
"882",883.6
"883",1
"884",0.4
"885",813.8
"886",1023.6
"887",1168.4
"888",990.2
"889",502
"890",0.4
"891",933.4
"892",1188.8
"893",1243.2
"894",1177.6
"895",990.8
"896",482
"897",0.6
"898",1000.8
"899",1154.4
"900",1143.8
"901",1237
"902",1024.6
"903",524.2
"904",0.6
"905",0.6
"906",1170.2
"907",1279
"908",1511.4
"909",1473.4
"910",893.2
"911",5.8
"912",5.8
"913",805.4
"914",946
"915",1079.4
"916",1028.2
"917",463
"918",0.4
"919",937
"920",1073.6
"921",1252.2
"922",1246.2
"923",994.2
"924",549.6
"925",0.4
"926",980.8
"927",1087.2
"928",1237.6
"929",1247
"930",1092.4
"931",504.6
"932",0.8
"933",915.8
"934",964.4
"935",1208.4
"936",1308.4
"937",1282.2
"938",694.8
"939",2.6
"940",1176
"941",1405.2
"942",1608
"943",1691.4
"944",1068.6
"945",581.4
"946",0.2
"947",834.8
"948",1030.4
"949",1166.2
"950",9.8
"951",1063
"952",580.4
"953",0.8
"954",1047.4
"955",1237.6
"956",1353.8
"957",1460.6
"958",1152
"959",573.4
"960",0.6
"961",0.4
"962",1045.4
"963",1175.6
"964",1288.8
"965",1110.6
"966",588
"967",1.2
"968",1027.4
"969",1329.6
"970",1576.6
"971",1666.4
"972",1477.6
"973",862.8
"974",4.4
"975",821.8
"976",970.2
"977",1210.2
"978",1311.6
"979",1127
"980",553
"981",0.4
"982",1030
"983",1248.6
"984",1427.8
"985",1344.8
"986",1278
"987",549
"988",2.4
"989",1018.2
"990",1088.6
"991",1257.8
"992",1314.6
"993",1121.2
"994",523.8
"995",0.6
"996",948.6
"997",1217
"998",1397.8
"999",1476.4
"1000",1364.4
"1001",729.8
"1002",3.8
"1003",1392.8
"1004",1624
"1005",1089.4
"1006",1291.4
"1007",1094
"1008",497.2
"1009",0.4
"1010",1019.2
"1011",1120.8
"1012",1238.4
"1013",1411.6
"1014",1167.2
"1015",861.8
"1016",5.8
"1017",1.2
"1018",973.2
"1019",1332.8
"1020",1377.2
"1021",1172
"1022",575.8
"1023",5
"1024",985.8
"1025",1117.4
"1026",1281.2
"1027",1342.2
"1028",1238.6
"1029",836.4
"1030",15.8
"1031",1163.2
"1032",1556.8
"1033",1625
"1034",1993
"1035",1825.6
"1036",470.4
"1037",1.6
"1038",0.2
"1039",972.2
"1040",1149.6
"1041",1276
"1042",1342.6
"1043",552.2
"1044",1.6
"1045",943.8
"1046",1030
"1047",1359.4
"1048",1434
"1049",1346.4
"1050",677
"1051",6.2
"1052",5.2
"1053",1238.4
"1054",1173
"1055",1518.2
"1056",1382.4
"1057",673.2
"1058",0.6
"1059",1170.8
"1060",1604
"1061",1690.4
"1062",1721.6
"1063",1845.4
"1064",1428.6
"1065",14
"1066",853.8
"1067",931.4
"1068",1134.4
"1069",1417
"1070",1309.8
"1071",905.4
"1072",0.6
"1073",0.4
"1074",1193.4
"1075",1558.2
"1076",1979
"1077",1755.8
"1078",1052.6
"1079",5.2
"1080",1392.4
"1081",1814.6
"1082",1877.4
"1083",1837.6
"1084",1614
"1085",1077.2
"1086",5
"1087",1705.4
"1088",1666
"1089",1834.8
"1090",0
"1091",1539.2
"1092",1307.2
"1093",14.2
"1094",2126.2
"1095",2058.2
"1096",1901.4
"1097",0
"1098",714
"1099",412.6
"1100",0.2
"1101",707.8
"1102",829.2
"1103",1034
"1104",1107.2
"1105",979.2
"1106",646.8
"1107",0.6
"1108",0.6
"1109",1048.2
"1110",1040.6
